;GOTOWE;ZLECENIE;PLIKI;NAZWA;połączenie;ILOŚĆ;ILOŚĆ PRZYRZĄDÓW;MATERIAŁ;DATA DRUKU;TERMIN ;OKŁADKA;ŚRODKI;FARBA;;;
54;;21613;NIE;( 21613 ) SBB A6 TERMINARZ W OKL. DRUKOWANEJ (b);SBB A6 TERMINARZ W OKL. DRUKOWANEJ;302;OFFSET : 4;NIE;;;;;;FAŁSZ;#N/D;
55;;21614;NIE;( 21614 ) SBB KALENDARZ ST YFRA KALENDARIUM Z ZEWN. (b);SBB KALENDARZ ST YFRA KALENDARIUM Z ZEWN.;404;CYFRA;NIE;;;;;;FAŁSZ;#N/D;
;;21615;NIE;( 21615 ) laser spec Bloczki firmowe (notesy) klejone bez okładki (b);laser spec Bloczki firmowe (notesy) klejone bez okładki;302;OFFSET / CYFRA;NIE;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
;;ODŚWIEŻ;;;;;;;;;;;;12;#N/D;
;;2024_09_16;2024_09_17;2024_09_18;2024_09_19;2024_09_20;;;;;;;;;;
;DATA;PONIEDZIAŁEK;WTOREK;ŚRODA;CZWARTEK;PIĄTEK;ANONS;;;;;;;;;
;;PONIEDZIAŁEK \ 2024_09_16;WTOREK \ 2024_09_17;ŚRODA \ 2024_09_18;CZWARTEK \ 2024_09_19;PIĄTEK \ 2024_09_20;;;DALSZY HORYZONT;;;;;;;
;;( 21603 ) PSYCHOTERAPEUTA (b);( BRAK ) ELAMED INNA PUBLIKACJA (b);( BRAK ) ELAMED INNA PUBLIKACJA (b);( 21604 ) MAMBACAR WIZYTÓWKI (b);SZEF PUBLIKACJA  (b);laser spec Bloczki firmowe (notesy) klejone bez okładki;;;;;;;;;
;;(  ) ;(  ) ;(  ) ;(  ) ;(  ) ;( 21614 ) SBB KALENDARZ ST YFRA KALENDARIUM Z ZEWN. (b);;;;;;;;;
;;(  ) ;(  ) ;(  ) ;(  ) ;(  ) ;( 21615 ) laser spec Bloczki firmowe (notesy) klejone bez okładki (b);;;;;;;;;
;;(  ) ;(  ) ;(  ) ;(  ) ;(  ) ;( 21613 ) SBB A6 TERMINARZ W OKL. DRUKOWANEJ (b);;;;;;;;;
;;(  ) ;(  ) ;(  ) ;(  ) ;(  ) ;( 21583 ) ANMAR KALENDARZ ST 2025 CYFRA (b);;;;;;;;;
;;;;;;;;;;;;;;;;
